"year","month","day","time","tank","temperature"
2016,12,31,840,15,2.2
2016,12,31,1620,15,2.4
2016,12,31,840,16,2
2016,12,31,1620,16,2.5
2016,12,31,840,17,4.7
2016,12,31,1620,17,2.4
2016,12,31,840,18,2.1
2016,12,31,1620,18,2.4
2016,12,31,840,19,1.9
2016,12,31,1620,19,2.4
2016,12,31,840,20,1.9
2016,12,31,1620,20,2.4
2016,12,31,840,21,2
2016,12,31,1620,21,2.4
2016,12,31,840,22,2
2016,12,31,1620,22,2.4
2016,12,31,840,23,2
2016,12,31,1620,23,2.4
2016,12,31,840,24,2
2016,12,31,1620,24,2.4
2016,12,31,840,25,2.1
2016,12,31,1620,25,2.5
2016,12,31,840,26,2.2
2016,12,31,1620,26,2.4
2016,12,31,840,27,2.1
2016,12,31,1620,27,2.5
2016,12,31,840,28,2.2
2016,12,31,1620,28,2.5
2016,12,31,840,29,2
2016,12,31,1620,29,2.5
2016,12,31,840,30,2
2016,12,31,1620,30,2.5
2016,12,31,840,31,2.2
2016,12,31,1620,31,2.5
2016,12,31,840,32,2.2
2016,12,31,1620,32,2.5
2016,12,31,840,33,2.2
2016,12,31,1620,33,2.5
2016,12,31,840,34,2.2
2016,12,31,1620,34,2.5
2016,12,31,840,35,2.1
2016,12,31,1620,35,2.6
2016,12,31,840,36,2.1
2016,12,31,1620,36,2.6
2017,1,1,830,1,2.5
2017,1,1,1400,1,2.5
2017,1,1,830,2,2.5
2017,1,1,1400,2,2.5
2017,1,1,830,3,2.5
2017,1,1,1400,3,2.5
2017,1,1,830,4,2.5
2017,1,1,1400,4,2.5
2017,1,1,830,5,2.5
2017,1,1,1400,5,2.5
2017,1,1,830,6,2.5
2017,1,1,1400,6,2.5
2017,1,1,830,7,2.4
2017,1,1,1400,7,2.5
2017,1,1,830,8,2.9
2017,1,1,1400,8,2.5
2017,1,1,830,9,2.5
2017,1,1,1400,9,2.5
2017,1,1,830,10,2.5
2017,1,1,1400,10,2.5
2017,1,1,830,11,2.5
2017,1,1,1400,11,2.5
2017,1,1,830,12,2.5
2017,1,1,1400,12,2.5
2017,1,1,830,13,2.5
2017,1,1,1400,13,2.5
2017,1,1,830,14,2.5
2017,1,1,1400,14,2.5
2017,1,1,830,15,2.5
2017,1,1,1400,15,2.5
2017,1,1,830,16,2.7
2017,1,1,1400,16,2.5
2017,1,1,830,17,2.6
2017,1,1,1400,17,2.6
2017,1,1,830,18,2.6
2017,1,1,1400,18,2.5
2017,1,1,830,19,2.5
2017,1,1,1400,19,2.5
2017,1,1,830,20,2.5
2017,1,1,1400,20,2.5
2017,1,1,830,21,2.7
2017,1,1,1400,21,2.5
2017,1,1,830,22,2.5
2017,1,1,1400,22,2.5
2017,1,1,830,23,2.6
2017,1,1,1400,23,2.5
2017,1,1,830,24,2.7
2017,1,1,1400,24,2.6
2017,1,1,830,25,2.6
2017,1,1,1400,25,2.6
2017,1,1,830,26,2.6
2017,1,1,1400,26,2.6
2017,1,1,830,27,2.7
2017,1,1,1400,27,2.5
2017,1,1,830,28,2.7
2017,1,1,1400,28,2.5
2017,1,1,830,29,2.7
2017,1,1,1400,29,2.5
2017,1,1,830,30,2.6
2017,1,1,1400,30,2.5
2017,1,1,830,31,2.7
2017,1,1,1400,31,2.5
2017,1,1,830,32,2.7
2017,1,1,1400,32,2.5
2017,1,1,830,33,2.7
2017,1,1,1400,33,2.5
2017,1,1,830,34,2.7
2017,1,1,1400,34,2.4
2017,1,1,830,35,2.6
2017,1,1,1400,35,2.5
2017,1,1,830,36,2.5
2017,1,1,1400,36,2.4
2017,1,2,945,1,2.2
2017,1,2,1540,1,2.1
2017,1,2,945,2,2.2
2017,1,2,1540,2,2.2
2017,1,2,945,3,2.2
2017,1,2,1540,3,2.2
2017,1,2,945,4,2.2
2017,1,2,1540,4,2.3
2017,1,2,945,5,2.2
2017,1,2,1540,5,2.2
2017,1,2,945,6,2.1
2017,1,2,1540,6,2.1
2017,1,2,945,7,2.1
2017,1,2,1540,7,2.1
2017,1,2,945,8,2.1
2017,1,2,1540,8,2.1
2017,1,2,945,9,2
2017,1,2,1540,9,2
2017,1,2,945,10,2.1
2017,1,2,1540,10,2
2017,1,2,945,11,2
2017,1,2,1540,11,2
2017,1,2,945,12,2
2017,1,2,1540,12,2
2017,1,2,945,13,2
2017,1,2,1540,13,2
2017,1,2,945,14,2.1
2017,1,2,1540,14,2
2017,1,2,945,15,2
2017,1,2,1540,15,2.1
2017,1,2,945,16,2.1
2017,1,2,1540,16,2.1
2017,1,2,945,17,2.2
2017,1,2,1540,17,2.1
2017,1,2,945,18,2.1
2017,1,2,1540,18,2.1
2017,1,2,945,19,2.1
